"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "PostCSS", "HTML", "Python", "Markdown", "Docker", "TOML", "XML", "JavaScript", "comment", "blank", "total"
"z:\My Code\Second Brain UI\.claude\settings.local.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"z:\My Code\Second Brain UI\base-assistant-ui\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 9, 26
"z:\My Code\Second Brain UI\base-assistant-ui\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 8, 21
"z:\My Code\Second Brain UI\base-assistant-ui\app\api\chat\route.ts", "TypeScript", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 234
"z:\My Code\Second Brain UI\base-assistant-ui\app\globals.css", "PostCSS", 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 21, 183
"z:\My Code\Second Brain UI\base-assistant-ui\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"z:\My Code\Second Brain UI\base-assistant-ui\app\page.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"z:\My Code\Second Brain UI\base-assistant-ui\blaxel.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\attachment.tsx", "TypeScript JSX", 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 226
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\composer-trigger-popover.tsx", "TypeScript JSX", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 246
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\directive-text.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 74
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\dot-matrix.tsx", "TypeScript JSX", 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 268
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\markdown-text.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\message-timing.tsx", "TypeScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 20, 5, 98
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\model-selector.tsx", "TypeScript JSX", 0, 0, 0, 592, 0, 0, 0, 0, 0, 0, 0, 0, 31, 56, 679
